Date,Statement,Press Conference,Monetary Event
2020-01-29,0.01,-0.009,0.001
2020-03-03,-0.1,-0.028,-0.112
2020-03-15,-0.079,0.023,-0.062
2020-03-19,-0.006,,-0.006
2020-03-23,-0.012,,-0.012
2020-03-31,0.003,,0.005
2020-04-29,-0.004,0.005,-0.002
2020-06-10,0.004,0.004,0.006
2020-07-29,0.003,0.007,0.005
2020-08-27,0.005,,0.007
2020-09-16,0.004,0.007,0.008
2020-11-05,0.007,0.0,0.008
2020-12-16,0.006,0.005,0.007
2021-01-27,0.01,0.003,0.01
2021-03-17,0.001,-0.0,-0.0
2021-04-28,0.003,0.002,0.003
2021-06-16,0.02,0.005,0.021
2021-07-28,0.007,0.005,0.009
2021-09-22,0.008,0.008,0.014
2021-11-03,0.006,0.004,0.008
2021-12-15,0.024,-0.001,0.021
2022-01-26,0.001,0.078,0.07
2022-03-16,0.06,-0.04,0.025
2022-05-04,-0.016,-0.069,-0.08
2022-06-15,0.05,-0.134,-0.071
2022-07-27,0.003,-0.055,-0.051
2022-09-21,0.055,-0.019,0.041
2022-11-02,-0.035,0.089,0.046
2022-12-14,0.056,-0.026,0.035
2023-02-01,0.014,-0.057,-0.043
2023-03-22,-0.019,-0.026,-0.048
2023-05-03,0.014,-0.011,-0.0
2023-06-14,0.053,-0.001,0.053
2023-07-26,0.012,-0.023,-0.014
2023-09-20,0.046,0.003,0.051
2023-11-01,-0.002,-0.033,-0.03
2023-12-13,-0.046,-0.036,-0.085
2024-01-31,0.019,0.019,0.032
2024-03-20,-0.008,-0.021,-0.029
2024-05-01,0.005,-0.019,-0.016
2024-06-12,0.018,0.017,0.033
2024-07-31,0.017,-0.05,-0.03
2024-09-18,-0.071,0.035,-0.045
2024-11-07,0.015,0.0,0.015
2024-12-18,0.054,0.017,0.073
2025-01-29,0.018,-0.001,0.013
2025-03-19,-0.015,-0.02,-0.038
2025-05-07,-0.007,0.017,0.005
2025-06-18,-0.008,0.015,0.003
2025-07-30,0.001,0.056,0.048
2025-09-17,-0.023,0.024,-0.004
2025-10-29,0.011,0.072,0.069
2025-12-10,-0.001,-0.006,-0.011
