date_q,surpr_statement,surpr_press,surpr_monetary,surpr_events,surpr_monetary_abs,surpr_monetary_z,surpr_monetary_abs_z
2020-01-01,-0.184,-0.014,-0.186,6,0.186,-2.5388066377458283,2.7345294386959202
2020-04-01,0,0.009000000000000001,0.004,2,0.004,0.08041468988335201,-0.9957718068455477
2020-07-01,0.012,0.014,0.02,3,0.02,0.30098069642054615,-0.667833235808935
2020-10-01,0.013000000000000001,0.005,0.015,2,0.015,0.23205381937767297,-0.7703140392578764
2021-01-01,0.011,0.003,0.01,2,0.01,0.16312694233479982,-0.8727948427068178
2021-04-01,0.023,0.007,0.024,2,0.024,0.3561221980548447,-0.5858485930497819
2021-07-01,0.015,0.013000000000000001,0.023,2,0.023,0.34233682264627,-0.6063447537395702
2021-10-01,0.03,0.003,0.029,2,0.029,0.42504907509771783,-0.4833677896008404
2022-01-01,0.061,0.038,0.095,2,0.095,1.3348838520636435,0.8693788159251864
2022-04-01,0.034,-0.203,-0.151,2,0.151,-2.056318498445716,2.01716381455333
2022-07-01,0.058,-0.074,-0.009999999999999995,2,0.009999999999999995,-0.11258056583669278,-0.872794842706818
2022-10-01,0.020999999999999998,0.063,0.081,2,0.081,1.141888596343599,0.5824325662681504
2023-01-01,-0.004999999999999999,-0.083,-0.091,2,0.091,-1.2291959739312381,0.7873941731660332
2023-04-01,0.067,-0.012,0.053,2,0.053,0.755898084903509,0.008540066954078366
2023-07-01,0.057999999999999996,-0.02,0.037,2,0.037,0.5353320783663149,-0.31939850408253423
2023-10-01,-0.048,-0.069,-0.115,2,0.115,-1.5600449837370292,1.2793020297209523
2024-01-01,0.011,-0.0020000000000000018,0.002999999999999999,2,0.002999999999999999,0.06662931447477737,-1.0162679675353359
2024-04-01,0.023,-0.0019999999999999983,0.017,2,0.017,0.25962457019482227,-0.7293217178782999
2024-07-01,-0.05399999999999999,-0.015,-0.075,2,0.075,-1.0086299673940438,0.4594556021294206
2024-10-01,0.069,0.017,0.088,2,0.088,1.238386224203621,0.7259056910966682
2025-01-01,0.002999999999999999,-0.021,-0.025,2,0.025,-0.31936119696531234,-0.5653524323599936
2025-04-01,-0.015,0.032,0.008,2,0.008,0.13555619151765055,-0.9137871640863945
2025-07-01,-0.022,0.08,0.044,2,0.044,0.6318297062263373,-0.17592537925401622
2025-10-01,0.009999999999999998,0.06599999999999999,0.05800000000000001,2,0.05800000000000001,0.8248249619463823,0.11102087040302003
