model,term,estimate,std_error,t_value,p_value,n,r2,adj_r2
h1: households ~ DLI + controls,(Intercept),1.1643059416837003,0.3669976563517611,3.1725160134748447,0.00201308396346,103,0.7443703606940884,0.7366240079878486
h1: households ~ DLI + controls,dli2_q_mean,0.08794693751382418,0.05315450752329364,1.654552767237729,0.1011824179408669,103,0.7443703606940884,0.7366240079878486
h1: households ~ DLI + controls,n_statements,-0.28038087241999554,0.1384307162958096,-2.0254238359993435,0.045515324769083244,103,0.7443703606940884,0.7366240079878486
h1: households ~ DLI + controls,michigan_l1,0.8678432473129066,0.055016192688345934,15.77432397456216,9.128107392648984e-29,103,0.7443703606940884,0.7366240079878486
h2: professionals ~ DLI + controls,(Intercept),0.3993187176825292,0.8449410207493099,0.4725995162696749,0.6375391365427326,103,0.14939113637934198,0.12361511020901905
h2: professionals ~ DLI + controls,dli2_q_mean,0.05953983008765282,0.23261054244352883,0.2559635924588731,0.7985100470809248,103,0.14939113637934198,0.12361511020901905
h2: professionals ~ DLI + controls,n_statements,0.576587110696232,0.44053749611644943,1.3088264126870597,0.19362321854115627,103,0.14939113637934198,0.12361511020901905
h2: professionals ~ DLI + controls,spf_l1,0.3718580213322899,0.15521773845958664,2.3957185887559427,0.01846712330845151,103,0.14939113637934198,0.12361511020901905
h3: households + surprise (post-2020),(Intercept),4.139766917308136,1.3020235074155253,3.1794870781752933,0.004935905427584325,24,0.7099234355841754,0.6488546851808439
h3: households + surprise (post-2020),dli2_q_mean,-0.5900948784028776,0.32176850405257446,-1.8339112466596814,0.0823796042245997,24,0.7099234355841754,0.6488546851808439
h3: households + surprise (post-2020),n_statements,-0.6944475765886017,0.2920449853921883,-2.377878790337815,0.02806513607279259,24,0.7099234355841754,0.6488546851808439
h3: households + surprise (post-2020),michigan_l1,0.6429235983321225,0.10122599841708682,6.351368308396925,4.29271721459985e-6,24,0.7099234355841754,0.6488546851808439
h3: households + surprise (post-2020),surpr_monetary,-0.3825831414098194,1.9195572301744763,-0.1993080150962964,0.8441392600576461,24,0.7099234355841754,0.6488546851808439
h4: professionals + surprise (post-2020),(Intercept),3.582362851725887,1.8108439614474214,1.978283567217176,0.06258121717785939,24,0.32280137061678077,0.18023323811505032
h4: professionals + surprise (post-2020),dli2_q_mean,-0.6767860162784356,0.9105126724817024,-0.7433021381611097,0.46639127093422894,24,0.32280137061678077,0.18023323811505032
h4: professionals + surprise (post-2020),n_statements,-0.48996014807397775,0.4466736372409434,-1.0969085865474637,0.28638965053432547,24,0.32280137061678077,0.18023323811505032
h4: professionals + surprise (post-2020),spf_l1,0.5092786730450353,0.23562853836372513,2.1613624418401027,0.04364121938138471,24,0.32280137061678077,0.18023323811505032
h4: professionals + surprise (post-2020),surpr_monetary,-4.067318510187222,4.1567320886733725,-0.9784894535950986,0.3401277661271538,24,0.32280137061678077,0.18023323811505032
