model,term,estimate,std_error,t_value,p_value,n,r2,adj_r2
b1: households level ~ DLI (mean),(Intercept),4.065313203373451,0.2511786121587468,16.184949699475773,8.198151129245667e-30,103,0.057311501276050385,0.047977951783733985
b1: households level ~ DLI (mean),dli2_q_mean,0.35122977435060115,0.19232807243794262,1.826201291878129,0.07077413441950808,103,0.057311501276050385,0.047977951783733985
b2: + number of statements,(Intercept),4.874688183687914,0.6458829777647545,7.547324130693204,2.1087978928638216e-11,103,0.07070270026271609,0.052116754267970355
b2: + number of statements,dli2_q_mean,0.33624065812061227,0.18684999652164092,1.7995218858977553,0.07495197338651231,103,0.07070270026271609,0.052116754267970355
b2: + number of statements,n_statements,-0.3822533160810674,0.2533730211516309,-1.508658318646752,0.13453917391249265,103,0.07070270026271609,0.052116754267970355
b3: + lagged expectations,(Intercept),1.1643059416837003,0.3669976563517611,3.1725160134748447,0.00201308396346,103,0.7443703606940884,0.7366240079878486
b3: + lagged expectations,dli2_q_mean,0.08794693751382418,0.05315450752329364,1.654552767237729,0.1011824179408669,103,0.7443703606940884,0.7366240079878486
b3: + lagged expectations,n_statements,-0.28038087241999554,0.1384307162958096,-2.0254238359993435,0.045515324769083244,103,0.7443703606940884,0.7366240079878486
b3: + lagged expectations,michigan_l1,0.8678432473129066,0.055016192688345934,15.77432397456216,9.128107392648984e-29,103,0.7443703606940884,0.7366240079878486
b4: Δ expectations ~ DLI (mean) + statements,(Intercept),0.5992821659622138,0.28170754600368847,2.1273202456364704,0.035852930149903726,103,0.029104111563329895,0.009686193794596454
b4: Δ expectations ~ DLI (mean) + statements,dli2_q_mean,0.05013631684057464,0.06245115985158483,0.8028084179657125,0.42398941851224026,103,0.029104111563329895,0.009686193794596454
b4: Δ expectations ~ DLI (mean) + statements,n_statements,-0.26486755087923114,0.1364097532513743,-1.9417053734503595,0.05498689042256721,103,0.029104111563329895,0.009686193794596454
b5: DLI (interaction variant) + controls,(Intercept),1.1495010873253961,0.363442377099007,3.162815234978103,0.0020749289557870946,103,0.7429243591414652,0.735134188206358
b5: DLI (interaction variant) + controls,dli1_q_mean,0.05225552529897009,0.040376742582023714,1.2941986390510605,0.19860768269050944,103,0.7429243591414652,0.735134188206358
b5: DLI (interaction variant) + controls,n_statements,-0.2913882281087886,0.13951036991621624,-2.0886492400800276,0.039304821034932,103,0.7429243591414652,0.735134188206358
b5: DLI (interaction variant) + controls,michigan_l1,0.8766186545319652,0.056182296344365196,15.60311186212106,1.978438141563976e-28,103,0.7429243591414652,0.735134188206358
"b6: distributed lag (DLI t, t-1) + controls",(Intercept),1.1377124140567152,0.3462390903760812,3.2859155585839375,0.0014111684864155317,103,0.7494037573183626,0.7391753392497243
"b6: distributed lag (DLI t, t-1) + controls",dli2_q_mean,-0.11973986238701341,0.20269622712944663,-0.5907355261750614,0.5560575711157788,103,0.7494037573183626,0.7391753392497243
"b6: distributed lag (DLI t, t-1) + controls",dli2_l1,0.23765632537035414,0.21791776961293174,1.0905780000983043,0.2781328197143938,103,0.7494037573183626,0.7391753392497243
"b6: distributed lag (DLI t, t-1) + controls",n_statements,-0.24405954445262135,0.1258408622243909,-1.9394300081751739,0.05532458608428328,103,0.7494037573183626,0.7391753392497243
"b6: distributed lag (DLI t, t-1) + controls",michigan_l1,0.8554103066058241,0.056709390468296275,15.084103347646565,2.718006242488591e-27,103,0.7494037573183626,0.7391753392497243
b7: DLI (last in quarter) + controls,(Intercept),1.1616261186666237,0.36650520940468423,3.169466869388998,0.0020323355296432014,103,0.7450689353356569,0.7373437515579495
b7: DLI (last in quarter) + controls,dli2_q_last,0.09476026475594876,0.074598911154229,1.2702633763653375,0.20696811258084669,103,0.7450689353356569,0.7373437515579495
b7: DLI (last in quarter) + controls,n_statements,-0.28228171348094283,0.14224291933137534,-1.9845044998220753,0.04996744681836123,103,0.7450689353356569,0.7373437515579495
b7: DLI (last in quarter) + controls,michigan_l1,0.8689514543360537,0.052520509722677786,16.544992783283096,2.937981241211282e-30,103,0.7450689353356569,0.7373437515579495
